station	lat	lon
0111	121.391832	31.116809
0112	121.399814	31.126929
0113	121.409334	31.136734
0114	121.42068	                 31.148312
0115	121.43627	                 31.161142
0116	121.44187	                 31.175383
0117	121.442801	31.188348
0118	121.444749	31.199152
0119	121.453247	31.211777
0120	121.457719	31.219937
0121	121.466688	31.223492
0122	121.479798	31.228753
0123	121.48085  	31.23868
0124	121.474802	31.244699
0125	121.465	                 31.247808
0126	121.462366	31.253608
0127	121.465616	31.265275
0128	121.461893	31.27806
0129	121.458503	31.285845
0130	121.456458	31.29917
0131	121.455097	31.312943
0132	121.453464	31.325355
0133	121.447817	31.337798
0134	121.444185	31.345991
0135	121.440458	31.361557
0136	121.437357	31.376207
0137	121.434336	31.38774
0138	121.43103 	31.398683
0234	121.307524	31.195431
0235	121.32795	                 31.1991
0236	121.334373	31.19958
0237	121.365797	31.223998
0238	121.380478	31.222334
0239	121.393671	31.220485
0240	121.410818	31.216959
0241	121.424336	31.224615
0242	121.43882	                 31.226025
0243	121.452711	31.229553
0244	121.46678	                 31.23614
0245	121.480166	31.239445
0246	121.490265	31.243034
0247	121.509075	31.243319
0248	121.521058	31.239393
0249	121.533264	31.235004
0250	121.550621	31.225524
0251	121.557067	31.216069
0252	121.563803	31.209437
0253	121.594061	31.207879
0254	121.608797	31.209985
0255	121.627183	31.216662
0256	121.662625	31.219828
0257	121.680961	31.219405
0258	121.687295	31.203168
0259	121.704572	31.192896
0260	121.728838	31.198286
0261	121.76216	                 31.205201
0262	121.803326	31.175116
0263	121.813395	31.155029
0311	121.437159	31.159648
0312	121.44963	                 31.164304
0313	121.450802	31.175724
0314	121.444739	31.182978
0315	121.433798	31.192584
0316	121.428032	31.20317
0317	121.423584	31.215865
0318	121.422883	31.224276
0319	121.419507	31.237991
0320	121.424183	31.244839
0321	121.436805	31.253
0322	121.447452	31.261022
0323	121.464746	31.255935
0324	121.483032	31.257464
0325	121.486639	31.265746
0326	121.485807	31.276632
0327	121.48899	                 31.287038
0328	121.489614	31.295096
0329	121.491552	31.311026
0330	121.491579	31.325399
0331	121.498185	31.337669
0332	121.50714 	31.350804
0333	121.505406	31.363662
0334	121.49951	                 31.376604
0335	121.494571	31.387466
0336	121.486126	31.401287
0337	121.48254	                 31.40993
0338	121.46856 	31.414137
0339	121.446217	31.414218
0401	121.443402	31.188814
0402	121.433798	31.192584
0403	121.428032	31.20317
0404	121.423584	31.215865
0405	121.422883	31.224276
0406	121.419507	31.237991
0407	121.424183	31.244839
0408	121.436805	31.253
0409	121.447452	31.261022
0410	121.46396 	31.255155
0411	121.483032	31.257464
0412	121.495445	31.264649
0413	121.507604	31.26658
0414	121.519375	31.26358
0415	121.523944	31.257681
0416	121.526211	31.246166
0417	121.532323	31.235423
0418	121.536985	31.227528
0419	121.534433	31.217603
0420	121.52581	                 31.215231
0421	121.506336	31.214285
0422	121.496122	31.207672
0423	121.480988	31.20494
0424	121.470148	31.200335
0425	121.461154	31.197304
0426	121.450248	31.19218
0501	121.391832	31.116809
0502	121.392332	31.103958
0503	121.396745	31.095036
0505	121.408264	31.072997
0507	121.416485	31.051134
0508	121.42282 	31.032955
0509	121.426326	31.024468
0510	121.416554	31.017141
0511	121.401635	31.013066
0512	121.387319	31.009198
0513	121.376495	31.006315
0531	121.423474               31.005428
0532	121.432441               30.98935
0533	121.441857               30.965888
0534	121.448984               30.942055
0535	121.463204               30.931168
0536	121.48358                 30.93194
0537	121.492506               30.928805
0538	121.49629                 30.913916
0621	121.487012	31.159351
0622	121.50168	                 31.154367
0623	121.512956	31.154788
0624	121.521145	31.15557
0625	121.52227 	31.165247
0626	121.517488	31.17825
0627	121.516396	31.191286
0628	121.52308 	31.198949
0629	121.52979 	31.209399
0630	121.534433	31.217603
0631	121.536985	31.227528
0632	121.532323	31.235423
0633	121.540892	31.239044
0634	121.549481	31.241974
0635	121.559229	31.245588
0636	121.57006	                 31.251371
0637	121.579756	31.256909
0638	121.588374	31.263292
0639	121.593488	31.270327
0640	121.59454	                 31.278007
0641	121.594976	31.286704
0642	121.595327	31.296804
0643	121.595846	31.308625
0644	121.595922	31.318355
0645	121.608989	31.327117
0646	121.600539	31.341305
0647	121.593445	31.353883
0648	121.581148	31.359297
0721	121.356426	31.407854
0722	121.364185	31.394383
0723	121.362293	31.370197
0724	121.368889	31.363427
0725	121.379313	31.350576
0726	121.373529               31.322388
0727	121.395296	31.326259
0728	121.405224	31.327225
0729	121.414775	31.321458
0730	121.420162	31.309963
0731	121.422947	31.29971
0732	121.428059	31.291225
0733	121.429477	31.280191
0734	121.429033	31.270157
0735	121.428339	31.262583
0736	121.436805	31.253
0737	121.444739	31.246256
0738	121.448574	31.240781
0739	121.45378	                 31.229694
0740	121.456628	31.219964
0741	121.456463	31.205392
0742	121.461154	31.197304
0743	121.463379	31.191311
0744	121.480035	31.177884
0745	121.492522	31.180277
0746	121.501124	31.184085
0747	121.506916	31.1874
0748	121.516396	31.191286
0749	121.530936	31.193539
0750	121.546398	31.193767
0751	121.556478	31.199531
0752	121.563888	31.209599
0753	121.569074	31.218236
0820	121.518803	31.06706
0821	121.51713	                 31.079655
0822	121.515133	31.089988
0823	121.512891	31.102197
0824	121.504377	31.124907
0825	121.496279	31.146696
0826	121.487012	31.159351
0827	121.50029 	31.16671
0828	121.502631	31.176999
0829	121.501124	31.184085
0830	121.500749	31.19134
0831	121.496122	31.207672
0832	121.492716	31.217413
0833	121.489485	31.224674
0834	121.485885	31.233127
0835	121.481738	31.238695
0836	121.478026	31.248251
0837	121.475411	31.259035
0838	121.47525 	31.2694
0839	121.485948	31.275811
0840	121.497039	31.282122
0841	121.507823	31.280577
0842	121.516066	31.278923
0843	121.524804	31.280818
0844	121.534441	31.284573
0845	121.541374	31.294899
0846	121.539677	31.301934
0847	121.538481	31.311023
0848	121.53857	                 31.321523
0849	121.538527	31.328516
0918	121.237677	30.990955
0919	121.235829	31.006987
0920	121.237126	31.022049
0921	121.237244	31.03603
0922	121.239238	31.059984
0923	121.237014	31.090393
0924	121.236257	31.110609
0925	121.267259	31.123976
0926	121.325378	31.143844
0927	121.344742	31.155955
0928	121.356047	31.161397
0929	121.375571	31.163862
0930	121.391169	31.172226
0931	121.403837	31.176123
0932	121.424997	31.180998
0933	121.43409	                 31.19119
0934	121.443046	31.201727
0935	121.456221	31.205776
0936	121.467219	31.208945
0937	121.475402	31.212073
0938	121.483036	31.215011
0939	121.492716	31.217413
0940	121.504895	31.222656
0941	121.52289	                 31.236125
0942	121.532323	31.235423
0943	121.555022	31.233791
0944	121.558431               31.231845
0945	121.577995          31.241028
0946	121.597458             31.252825
0947	121.611336                 31.26085
0948	121.628741               31.264304
0949	121.638629               31.263141
0950	121.656465               31.266074
0951	121.668125               31.268335
0952	121.683701               31.271251
1018	121.361249	31.171619
1019	121.37097	                 31.175533
1020	121.37699	                 31.182886
1041	121.32795	                 31.1991
1042	121.334373	31.19958
1043	121.3539	                 31.197476
1044	121.373597	31.196049
1045	121.386467	31.199878
1046	121.398444	31.205074
1047	121.410671	31.204634
